track,album,year,duration_sec,time_signature,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity
The Voyeur of Utter Destruction (As Beauty),1. Outside (The Nathan Adler Diaries: A Hyper Cycle),1995,261,4,0.505,0.89,7,-7.968,1,0.0662,0.132,0.00861,0.0894,0.308,134.462,8
Wishful Beginnings,1. Outside (The Nathan Adler Diaries: A Hyper Cycle),1995,308,4,0.688,0.311,11,-13.837,1,0.0348,0.00125,0.00273,0.088,0.238,115.102,8
Segue - Baby Grace (A Horrid Cassette),1. Outside (The Nathan Adler Diaries: A Hyper Cycle),1995,99,4,0.303,0.321,7,-17.292,0,0.0574,0.388,0.00201,0.136,0.261,94.475,7
Segue - Algeria Touchshriek,1. Outside (The Nathan Adler Diaries: A Hyper Cycle),1995,123,4,0.449,0.272,8,-18.424,1,0.0569,0.549,0.000358,0.0851,0.428,138.412,6
Segue - Ramona A. Stone / I Am with Name,1. Outside (The Nathan Adler Diaries: A Hyper Cycle),1995,241,4,0.617,0.929,0,-8.44,1,0.0583,0.0108,0.0000611,0.0975,0.409,130.646,6
Segue - Nathan Adler - Version #1,1. Outside (The Nathan Adler Diaries: A Hyper Cycle),1995,60,4,0.704,0.289,1,-20.069,1,0.292,0.0567,0.0000221,0.134,0.736,125.638,5
Segue - Nathan Adler - Version #2,1. Outside (The Nathan Adler Diaries: A Hyper Cycle),1995,28,4,0.736,0.537,7,-18.189,1,0.0819,0.0184,0.802,0.0616,0.964,150.066,0
I'm Afraid of Americans,Earthling,1997,300,4,0.62,0.755,10,-7.896,1,0.0762,0.00184,0.244,0.225,0.75,160.027,23
Little Wonder,Earthling,1997,362,4,0.544,0.936,1,-6.446,0,0.126,0.00146,0.0108,0.481,0.329,151.942,19
Seven Years in Tibet,Earthling,1997,381,4,0.511,0.675,10,-6.026,1,0.0296,0.0011,0.272,0.107,0.499,167.028,18
Dead Man Walking,Earthling,1997,446,4,0.468,0.925,10,-4.668,1,0.0473,0.0000522,0.24,0.224,0.369,140.024,18
Looking for Satellites,Earthling,1997,320,3,0.384,0.822,7,-5.996,1,0.031,0.0000966,0.565,0.175,0.221,172.01,16
Battle for Britain (The Letter),Earthling,1997,289,4,0.517,0.889,7,-7.762,1,0.163,0.0013,0.00172,0.127,0.387,166.062,14
Telling Lies,Earthling,1997,290,4,0.504,0.737,7,-7.761,1,0.0502,0.000664,0.203,0.043,0.384,159.985,13
Law (Earthlings on Fire),Earthling,1997,288,4,0.611,0.78,7,-7.619,1,0.0379,0.0000718,0.0856,0.144,0.516,140.003,13
The Last Thing You Should Do,Earthling,1997,297,4,0.482,0.998,9,-4.631,0,0.135,0.000651,0.685,0.0431,0.373,150.019,12
Thursday's Child,Hours...,1999,322,4,0.413,0.635,11,-6.601,1,0.0287,0.0606,0.0031,0.169,0.654,170.924,15
Seven,Hours...,1999,244,4,0.658,0.474,0,-7.997,1,0.0268,0.164,0.000149,0.135,0.33,108.486,13
Something in the Air,Hours...,1999,346,4,0.57,0.626,7,-5.673,0,0.0245,0.0226,0.000262,0.373,0.36,81.501,12
The Pretty Things Are Going to Hell,Hours...,1999,281,4,0.585,0.852,1,-5.673,1,0.142,0.00306,0.00528,0.327,0.364,127.528,12
Survive,Hours...,1999,251,4,0.507,0.655,7,-6.31,1,0.0254,0.0516,0.0105,0.135,0.373,82.033,10
If I'm Dreaming My Life,Hours...,1999,424,4,0.323,0.593,7,-7.584,0,0.0301,0.0477,0.0134,0.0775,0.312,154.991,10
What's Really Happening?,Hours...,1999,250,4,0.496,0.732,7,-6.815,1,0.0297,0.00157,0.379,0.487,0.274,107,9
New Angels of Promise,Hours...,1999,277,4,0.577,0.747,2,-7.66,1,0.0318,0.00298,0.116,0.0759,0.35,107.079,9
The Dreamers,Hours...,1999,313,4,0.533,0.621,10,-8.269,0,0.0429,0.078,0.00309,0.0885,0.504,167.986,9
Brilliant Adventure,Hours...,1999,111,4,0.341,0.183,7,-14.289,1,0.0381,0.905,0.976,0.126,0.0392,129.293,7
Slow Burn,Heathen,2002,280,4,0.584,0.883,5,-3.572,1,0.0293,0.15,0.00562,0.135,0.67,107.283,34
Everyone Says 'Hi',Heathen,2002,237,4,0.631,0.804,0,-6.001,1,0.0241,0.0421,0.0000015,0.249,0.476,98.015,33
Cactus,Heathen,2002,174,4,0.658,0.727,5,-6.4,1,0.0298,0.000408,0.00254,0.0854,0.133,113.979,32
Slip Away,Heathen,2002,364,4,0.48,0.547,0,-6.447,1,0.0311,0.39,0.00000198,0.213,0.0677,110.002,31
Sunday,Heathen,2002,284,4,0.488,0.574,1,-9.889,1,0.0349,0.251,0.00185,0.0809,0.104,100.355,30
Afraid,Heathen,2002,207,4,0.476,0.857,7,-4.005,0,0.0402,0.0587,0.00000146,0.123,0.332,143.015,29
5:15 The Angels Have Gone,Heathen,2002,301,4,0.624,0.72,7,-6.69,1,0.0293,0.0476,0.0121,0.262,0.358,90.87,28
I've Been Waiting For You,Heathen,2002,179,4,0.57,0.911,9,-3.345,0,0.0378,0.00256,0.0249,0.297,0.373,104.006,27
I Would Be Your Slave,Heathen,2002,313,4,0.471,0.717,1,-8.021,1,0.0323,0.0168,0.000997,0.227,0.705,162.635,27
Heathen (The Rays),Heathen,2002,256,4,0.504,0.675,8,-9.901,1,0.0347,0.00841,0.159,0.302,0.0419,120.017,26
I Took A Trip On A Gemini Spaceship,Heathen,2002,246,4,0.61,0.977,7,-4.874,1,0.0862,0.00155,0.271,0.257,0.519,136.282,25
A Better Future,Heathen,2002,250,4,0.483,0.914,8,-5.314,1,0.0546,0.00226,0.248,0.32,0.746,168.585,25
Sunday - Moby Remix,Heathen,2002,309,4,0.483,0.782,1,-7.304,1,0.0428,0.11,0.257,0.171,0.207,100.205,22
A Better Future - Remix by Air,Heathen,2002,296,4,0.39,0.562,1,-10.448,1,0.044,0.827,0.0488,0.0653,0.243,168.74,22
Rebel Rebel,Reality,2003,190,4,0.861,0.483,9,-5.416,1,0.0732,0.296,0.00000202,0.0715,0.861,125.94,39
New Killer Star,Reality,2003,280,4,0.682,0.938,9,-3.999,0,0.0311,0.369,0.00000442,0.147,0.922,119.843,34
Bring Me The Disco King,Reality,2003,465,4,0.676,0.412,5,-12.171,0,0.0396,0.554,0.00081,0.0667,0.437,73.139,30
Never Get Old,Reality,2003,264,4,0.637,0.855,0,-4.056,1,0.0354,0.129,0.000737,0.105,0.406,99.842,29
Days,Reality,2003,198,4,0.631,0.676,10,-6.439,1,0.0241,0.345,0.0000692,0.19,0.44,74.86,29
Pablo Picasso,Reality,2003,244,4,0.478,0.864,8,-3.134,1,0.0338,0.034,0.00288,0.118,0.518,139.859,28
Fall Dog Bombs The Moon,Reality,2003,242,4,0.58,0.819,4,-5.308,0,0.0319,0.00014,0.029,0.281,0.32,120.854,25
The Loneliest Guy,Reality,2003,251,3,0.281,0.228,11,-15.754,1,0.0311,0.287,0.13,0.0986,0.0597,114.759,24
Looking For Water,Reality,2003,208,4,0.701,0.835,6,-4.954,0,0.0479,0.0585,0.0000123,0.178,0.813,134.359,24
She'll Drive The Big Car,Reality,2003,274,4,0.691,0.758,4,-4.205,0,0.0359,0.0329,0.00000772,0.131,0.587,119.874,23
"Try Some, Buy Some",Reality,2003,264,3,0.5,0.543,5,-5.464,1,0.0292,0.136,0.00328,0.188,0.191,119.734,23
Reality,Reality,2003,261,4,0.445,0.984,9,-2.477,1,0.0798,0.000267,0.000404,0.375,0.46,149.71,22
Fly,Reality,2003,250,4,0.456,0.974,1,-3.32,1,0.0776,0.0742,0.00391,0.125,0.469,149.701,20
Queen Of All The Tarts (Overture),Reality,2003,173,4,0.429,0.876,10,-5.561,0,0.0375,0.00674,0.0405,0.363,0.488,143.728,18
Valentine's Day,The Next Day,2013,182,4,0.565,0.753,2,-5.205,1,0.0309,0.00212,0,0.0787,0.512,95.98,40
Where Are We Now?,The Next Day,2013,249,4,0.557,0.456,0,-8.623,1,0.0228,0.0419,0.0235,0.125,0.414,80.05,39
The Stars (Are Out Tonight),The Next Day,2013,237,4,0.518,0.842,6,-4.798,0,0.0348,0.00555,0,0.128,0.697,136.027,36
The Next Day,The Next Day,2013,206,4,0.663,0.967,9,-3.858,1,0.0386,0.00101,0,0.375,0.84,122.002,33
Love Is Lost,The Next Day,2013,237,4,0.643,0.588,10,-7.069,0,0.0264,0.0112,0.00495,0.156,0.562,101.971,30
Dirty Boys,The Next Day,2013,178,4,0.743,0.418,4,-7.146,0,0.0342,0.0448,0.00102,0.115,0.621,94.064,28
I'd Rather Be High,The Next Day,2013,224,4,0.52,0.821,2,-5.567,1,0.031,0.000127,0.00285,0.229,0.688,94.983,28
You Feel So Lonely You Could Die,The Next Day,2013,277,3,0.362,0.632,3,-6.754,1,0.0292,0.0402,0,0.254,0.374,80.1,27
Boss Of Me,The Next Day,2013,249,4,0.669,0.715,10,-6.22,1,0.0304,0.148,0.000022,0.143,0.537,103.014,26
Dancing Out In Space,The Next Day,2013,201,4,0.456,0.644,0,-6.358,1,0.0273,0.00811,0.00122,0.376,0.88,172.116,26
How Does The Grass Grow?,The Next Day,2013,274,4,0.629,0.872,10,-5.989,0,0.0445,0.00448,0.000757,0.229,0.43,120.054,26
(You Will) Set The World On Fire,The Next Day,2013,212,4,0.615,0.841,4,-3.934,0,0.034,0.00369,0,0.214,0.771,133.928,26
If You Can See Me,The Next Day,2013,192,4,0.335,0.844,1,-5.983,1,0.118,0.00719,0.00053,0.263,0.0855,72.378,25
Heat,The Next Day,2013,265,4,0.367,0.466,11,-9.19,1,0.0276,0.386,0.0487,0.0757,0.116,104.169,23
Lazarus,Blackstar,2016,384,4,0.667,0.691,9,-6.883,0,0.0284,0.0474,0.119,0.087,0.479,129.952,53
â˜…,Blackstar,2016,597,4,0.364,0.525,6,-9.203,1,0.0321,0.208,0.0605,0.183,0.122,98.042,46
Tis A Pity She Was A Whore,Blackstar,2016,292,4,0.505,0.955,5,-4.539,1,0.125,0.00428,0.058,0.094,0.447,131.998,41
I Can't Give Everything Away,Blackstar,2016,347,4,0.496,0.931,5,-7.005,1,0.0657,0.11,0.049,0.33,0.417,119.989,41
Girl Loves Me,Blackstar,2016,291,4,0.696,0.579,10,-7.625,0,0.0505,0.292,0.000182,0.292,0.351,137.01,40
Dollar Days,Blackstar,2016,284,4,0.481,0.725,11,-7.116,0,0.049,0.0341,0.0000528,0.0967,0.172,119.876,39
Sue (Or In A Season Of Crime),Blackstar,2016,280,4,0.371,0.868,11,-5.695,0,0.0979,0.0245,0.0183,0.58,0.376,170.206,38
